Resultado da Mega-sena - http://www1.caixa.gov.br/loterias/_arquivos/loterias/D_megase.zip



Concurso	Data Sorteio	1ª Dezena	2ª Dezena	3ª Dezena	4ª Dezena	5ª Dezena	6ª Dezena	Arrecadacao_Total	Ganhadores_Sena	Cidade	UF	Rateio_Sena	Ganhadores_Quina	Rateio_Quina	Ganhadores_Quadra	Rateio_Quadra	Acumulado	Valor_Acumulado	Estimativa_Prêmio	Acumulado_Mega_da_Virada
1075	20/05/2009	53	39	16	21	10	12	0,00	0	 	 	0,00	119	15.845,68	7179	375,22	SIM	20.450.510,01	25.000.000,00	16.699.779,66
1076	23/05/2009	32	33	10	19	42	04	0,00	0	 	 	0,00	102	21.442,45	8656	360,96	SIM	24.479.432,11	30.000.000,00	17.275.339,96
1077	27/05/2009	11	06	18	05	37	09	41.658.547,00	2	BELO HORIZONTE	MG	14.486.088,42	300	8.129,73	19219	181,28	NÃO	0,00	2.000.000,00	17.917.160,64
SÃO PAULO	SP
1078	30/05/2009	03	06	45	34	41	43	18.069.091,25	0	 	 	0,00	47	22.507,73	3645	414,60	SIM	1.948.695,28	4.000.000,00	18.195.545,69
1079	03/06/2009	36	12	37	24	05	28	19.331.149,25	1	INDAIATUBA	SP	4.033.499,58	150	7.545,01	8339	193,88	NÃO	0,00	12.000.000,00	18.493.374,90
1080	06/06/2009	56	11	20	41	34	18	24.493.897,75	0	 	 	0,00	59	24.305,19	4152	493,39	SIM	12.716.777,49	16.000.000,00	18.870.745,01
1081	10/06/2009	09	56	29	52	16	24	30.459.672,25	0	 	 	0,00	109	16.360,33	7213	353,18	SIM	16.001.758,39	20.000.000,00	19.340.028,00
1082	13/06/2009	04	40	50	17	55	38	31.139.440,50	0	 	 	0,00	63	28.937,66	5460	476,99	SIM	19.360.050,18	23.000.000,00	19.819.783,99
1083	17/06/2009	20	28	42	23	10	43	38.208.360,75	0	 	 	0,00	70	31.956,08	6647	480,75	SIM	23.480.703,04	28.000.000,00	20.408.448,69
1084	20/06/2009	20	05	29	59	40	33	42.873.020,75	0	 	 	0,00	108	23.240,93	7731	463,81	SIM	39.437.088,95	45.000.000,00	21.068.980,41
1085	24/06/2009	39	50	21	12	40	55	60.876.961,25	0	 	 	0,00	81	44.000,86	7674	663,47	SIM	46.002.479,88	55.000.000,00	22.006.893,41
1086	27/06/2009	45	04	06	23	10	02	89.142.866,75	4	IBIRITÉ	MG	13.904.065,20	954	5.470,55	52159	142,93	NÃO	0,00	2.000.000,00	23.380.290,70
LONDRINA	PR
LEME	SP
SÃO BERNARDO DO CAMPO	SP
1087	01/07/2009	36	46	28	32	03	20	20.190.770,25	0	 	 	0,00	58	20.380,65	4426	381,53	SIM	2.177.511,76	4.000.000,00	23.691.363,83
1088	04/07/2009	24	42	35	31	06	57	25.640.480,25	0	 	 	0,00	78	19.245,30	5886	364,33	SIM	4.942.757,79	8.000.000,00	24.086.398,99
1089	08/07/2009	37	48	32	02	18	20	27.422.916,50	0	 	 	0,00	93	17.263,31	6101	375,93	SIM	23.035.860,57	27.000.000,00	24.508.895,60
1090	11/07/2009	24	09	40	20	36	42	38.322.847,50	0	 	 	0,00	175	12.820,74	10325	310,42	SIM	27.168.860,47	32.000.000,00	25.099.324,18
1091	15/07/2009	27	56	17	24	49	23	46.937.052,75	0	 	 	0,00	146	18.821,58	12471	314,78	SIM	32.230.875,61	38.000.000,00	25.822.469,22
1092	18/07/2009	40	30	01	09	33	34	56.228.327,75	0	 	 	0,00	130	25.322,41	11224	418,98	SIM	38.294.925,87	45.000.000,00	26.688.762,13
1093	22/07/2009	27	49	38	23	41	19	70.710.811,50	0	 	 	0,00	299	13.845,47	18464	320,29	SIM	45.920.866,95	56.000.000,00	27.778.182,30
1094	25/07/2009	10	09	48	36	41	21	92.189.270,25	1	RIO DE JANEIRO	RJ	55.863.193,02	211	25.579,45	18534	416,01	NÃO	0,00	25.000.000,00	29.198.514,62
1095	29/07/2009	27	23	36	10	21	16	35.408.194,50	0	 	 	0,00	168	12.339,22	10462	283,06	SIM	24.452.986,89	29.000.000,00	29.744.038,01
1096	01/08/2009	03	41	52	14	13	16	46.234.424,25	0	 	 	0,00	102	26.537,40	9766	395,95	SIM	29.439.225,73	35.000.000,00	30.456.357,86
1097	05/08/2009	21	48	33	01	56	17	50.705.642,75	1	SANTOS	SP	34.907.671,59	242	12.266,88	13115	323,35	NÃO	0,00	2.000.000,00	31.237.564,43
1098	08/08/2009	30	20	21	11	50	52	24.632.326,25	1	BELÉM	PA	2.656.519,77	49	29.430,83	3434	599,92	NÃO	0,00	2.500.000,00	31.617.067,26
1099	12/08/2009	55	44	38	35	14	31	21.735.883,75	0	 	 	0,00	42	30.298,50	3392	535,94	SIM	14.459.242,92	17.000.000,00	31.951.945,49
1100	15/08/2009	41	33	17	18	07	42	34.452.773,25	0	 	 	0,00	119	16.950,03	10353	278,32	SIM	18.174.867,35	23.000.000,00	32.482.748,98
1101	19/08/2009	07	12	57	06	24	10	38.343.704,00	1	GUARATINGUETA	SP	22.310.116,55	284	7.904,40	17901	179,14	NÃO	0,00	2.000.000,00	33.073.498,88
1102	22/08/2009	46	23	09	35	11	51	22.023.282,75	0	 	 	0,00	83	15.534,50	5695	323,43	SIM	2.375.142,54	5.000.000,00	33.412.804,97
1103	26/08/2009	41	19	10	28	55	56	23.717.776,25	0	 	 	0,00	47	29.544,00	5696	348,25	SIM	4.933.030,92	8.000.000,00	33.778.217,62
1104	29/08/2009	03	35	58	49	02	06	28.992.726,00	0	 	 	0,00	95	17.867,29	6982	347,29	SIM	18.060.804,99	21.000.000,00	34.224.899,83
1105	02/09/2009	43	01	50	28	57	15	35.396.452,00	1	TERRA ROXA	PR	21.878.202,24	135	15.350,38	7144	414,39	NÃO	0,00	2.000.000,00	34.770.242,31
1106	05/09/2009	04	15	50	60	43	47	20.175.874,25	0	 	 	0,00	37	31.924,48	3139	537,57	SIM	2.175.905,27	5.000.000,00	35.081.085,93
1107	09/09/2009	36	20	54	09	03	53	21.516.050,00	0	 	 	0,00	85	14.819,61	6294	285,91	SIM	4.496.344,33	7.000.000,00	35.412.577,23
1108	12/09/2009	60	44	07	39	43	09	29.595.212,00	0	 	 	0,00	71	24.403,73	5791	427,42	SIM	7.688.095,88	12.000.000,00	35.868.541,75
1109	16/09/2009	11	52	14	06	29	08	30.862.658,00	0	 	 	0,00	141	12.814,67	8371	308,35	SIM	20.340.725,12	24.000.000,00	36.344.033,43
1110	19/09/2009	26	45	06	28	42	14	40.292.586,00	2	Curitiba	PR	12.343.077,59	217	10.870,72	11277	298,83	NÃO	0,00	2.000.000,00	36.964.809,17
PORTO ALEGRE	RS
1111	23/09/2009	04	43	25	09	33	32	19.480.656,00	1	SÃO CAETANO DO SUL	SP	2.100.928,15	52	21.932,77	5266	309,39	NÃO	0,00	2.000.000,00	37.264.941,78
1112	26/09/2009	04	34	52	32	58	43	20.626.242,00	0	 	 	0,00	43	28.083,09	3283	525,46	SIM	2.224.476,04	5.000.000,00	37.582.724,09
1113	30/09/2009	47	36	29	59	03	06	22.419.202,00	2	PARAUAPEBAS	PA	2.321.158,61	82	16.006,62	5947	315,29	NÃO	0,00	2.000.000,00	37.928.129,99
AMPARO	SP
1114	03/10/2009	16	03	22	54	25	15	21.424.482,00	1	ITUPEVA	SP	2.310.563,74	65	19.297,02	5054	354,54	NÃO	0,00	11.000.000,00	38.258.210,54
1115	07/10/2009	44	41	18	50	37	30	25.131.470,00	0	 	 	0,00	26	56.589,75	3005	699,46	SIM	11.132.729,77	14.000.000,00	38.645.403,53
1116	10/10/2009	17	20	04	47	09	13	31.648.022,00	1	Florianópolis	SC	14.545.870,49	259	7.153,85	14186	186,58	NÃO	0,00	2.000.000,00	39.132.995,07
1117	14/10/2009	27	35	40	01	06	17	16.153.514,00	0	 	 	0,00	36	26.269,86	3143	429,85	SIM	1.742.106,23	4.000.000,00	39.381.867,40
1118	17/10/2009	55	44	08	20	43	21	22.874.788,00	0	 	 	0,00	30	44.640,50	2965	645,24	SIM	4.209.080,96	7.000.000,00	39.734.292,39
1119	21/10/2009	44	54	41	45	34	10	22.981.012,00	0	 	 	0,00	22	61.156,09	2684	716,11	SIM	14.740.142,18	18.000.000,00	40.088.353,92
1120	24/10/2009	50	55	07	35	44	40	33.081.040,00	0	 	 	0,00	63	30.741,97	4116	672,20	SIM	18.307.829,45	22.000.000,00	40.598.023,55
1121	28/10/2009	18	04	59	54	56	17	34.452.964,00	1	SÃO PAULO	SP	22.023.474,44	94	21.458,13	6105	471,99	NÃO	0,00	2.000.000,00	41.128.829,98
1122	31/10/2009	49	44	56	26	46	55	19.222.788,00	0	 	 	0,00	20	56.270,34	2425	662,97	SIM	2.073.117,88	4.000.000,00	41.424.989,69
1123	04/11/2009	19	04	39	14	45	60	18.010.282,00	0	 	 	0,00	51	20.674,90	3386	444,86	SIM	4.015.470,76	6.000.000,00	41.702.468,69
1124	07/11/2009	49	11	07	18	16	33	25.236.404,00	0	 	 	0,00	122	12.110,47	7528	280,37	SIM	15.550.005,71	20.000.000,00	42.091.278,37
1125	11/11/2009	07	42	56	29	33	03	32.858.866,00	1	RIO DE JANEIRO	RJ	19.093.732,19	263	7.314,59	11744	234,00	NÃO	0,00	2.500.000,00	42.597.525,04
1126	14/11/2009	59	31	57	04	52	42	19.735.086,00	0	 	 	0,00	21	55.019,03	2186	755,06	SIM	2.128.367,63	5.000.000,00	42.901.577,57
1127	18/11/2009	24	08	14	05	29	30	20.985.848,00	3	RIO DE JANEIRO	RJ	1.463.875,35	152	8.083,07	7135	245,99	NÃO	0,00	2.000.000,00	43.224.900,21
PORTO ALEGRE	RS
SÃO BERNARDO DO CAMPO	SP
1128	21/11/2009	60	08	39	52	24	16	17.652.896,00	1	SETE LAGOAS	MG	1.903.809,92	43	24.034,81	3389	435,65	NÃO	0,00	2.000.000,00	43.496.873,07
1129	25/11/2009	47	19	17	12	32	55	16.567.972,00	0	 	 	0,00	75	12.933,06	4068	340,63	SIM	9.094.554,71	12.000.000,00	43.752.130,84
1130	28/11/2009	23	49	32	54	18	05	27.408.748,00	0	 	 	0,00	279	5.751,46	9245	247,95	SIM	12.050.502,92	15.000.000,00	44.174.409,16
1131	02/12/2009	49	34	36	01	16	08	34.001.962,00	0	 	 	0,00	119	16.728,24	7753	366,80	SIM	15.717.508,75	20.000.000,00	44.698.267,16
1132	05/12/2009	52	30	27	12	55	33	38.359.728,00	0	 	 	0,00	104	21.594,12	7799	411,36	SIM	19.854.486,10	24.000.000,00	45.289.263,93
1133	09/12/2009	16	05	58	39	10	21	37.311.790,00	1	Montes Claros	MG	23.878.446,59	111	19.679,60	8648	360,84	NÃO	0,00	2.500.000,00	45.864.115,44
1134	12/12/2009	29	36	56	22	09	51	21.551.532,00	0	 	 	0,00	53	23.806,49	3770	478,11	SIM	13.077.964,72	16.000.000,00	46.196.153,41
1135	16/12/2009	05	04	19	39	06	23	29.603.144,00	1	VITÓRIA	ES	16.270.571,71	127	13.646,69	9233	268,15	NÃO	0,00	2.000.000,00	46.652.240,14
1136	19/12/2009	07	31	32	37	43	34	21.230.956,00	0	 	 	0,00	41	30.316,49	4242	418,59	SIM	2.289.692,56	5.000.000,00	46.979.339,10
1137	22/12/2009	21	28	19	25	50	43	14.493.008,00	0	 	 	0,00	33	25.712,12	2763	438,70	SIM	3.852.718,38	6.000.000,00	47.202.628,51
1138	24/12/2009	04	25	18	15	36	02	19.145.820,00	0	 	 	0,00	118	9.499,16	6796	235,62	SIM	5.917.535,51	7.500.000,00	47.497.602,38
1139	26/12/2009	36	42	37	09	28	31	13.557.048,00	0	 	 	0,00	25	31.748,14	2049	553,37	SIM	61.731.493,11	120.000.000,00	61.731.493,11
1140	31/12/2009	49	58	40	46	10	27	435.346.884,00	2	BRASÍLIA	DF	72.450.747,46	734	34.724,23	55988	650,33	NÃO	0,00	1.500.000,00	0,00
SANTA RITA DO PASSA QUATRO	SP
1141	02/01/2010	40	09	37	58	50	60	5.610.856,00	0	 	 	0,00	6	54.748,35	683	687,07	SIM	605.113,35	2.000.000,00	86.444,79
1142	06/01/2010	28	31	15	58	03	26	17.301.930,00	0	 	 	0,00	66	15.347,72	3640	397,54	SIM	2.471.072,68	5.000.000,00	353.010,42
1143	09/01/2010	35	47	60	44	30	03	21.700.966,00	0	 	 	0,00	52	24.432,56	3686	492,40	SIM	4.811.454,35	7.000.000,00	687.350,67
1144	13/01/2010	19	10	49	18	01	44	22.142.094,00	0	 	 	0,00	92	14.090,42	6105	303,33	SIM	11.724.753,92	15.000.000,00	1.028.487,25
1145	16/01/2010	19	03	60	33	24	16	28.855.462,00	1	BRASÍLIA	DF	14.836.725,73	129	13.095,79	8734	276,31	NÃO	0,00	2.000.000,00	1.473.054,66
1146	20/01/2010	10	34	53	33	28	06	16.304.810,00	0	 	 	0,00	53	18.010,80	3641	374,53	SIM	1.758.423,03	4.000.000,00	1.724.257,97
1147	23/01/2010	23	39	52	31	06	33	20.872.116,00	0	 	 	0,00	30	40.732,25	3040	574,23	SIM	4.009.415,81	7.000.000,00	2.045.828,37
1148	27/01/2010	48	32	29	55	27	28	20.929.302,00	0	 	 	0,00	37	33.116,63	3792	461,61	SIM	6.266.575,92	9.000.000,00	2.368.279,83
1149	30/01/2010	46	54	08	36	07	23	25.751.354,00	0	 	 	0,00	91	16.567,30	6998	307,76	SIM	16.684.537,21	20.000.000,00	2.765.023,19
1150	03/02/2010	28	17	35	52	31	15	30.139.020,00	0	 	 	0,00	58	30.422,46	5033	500,83	SIM	19.934.936,77	24.000.000,00	3.229.366,00
1151	06/02/2010	01	25	04	14	21	51	35.293.022,00	0	 	 	0,00	101	20.457,88	7455	395,94	SIM	23.741.179,41	28.000.000,00	3.773.114,97
1152	10/02/2010	47	36	44	29	20	14	37.101.290,00	0	 	 	0,00	99	21.940,52	6884	450,75	SIM	27.742.438,13	32.000.000,00	4.344.723,37
1153	13/02/2010	55	46	34	17	19	06	42.232.896,00	0	 	 	0,00	148	16.706,38	9655	365,84	SIM	32.297.124,60	34.000.000,00	4.995.392,88
1154	17/02/2010	04	14	21	26	12	28	26.100.894,00	0	 	 	0,00	141	10.837,51	8206	266,02	SIM	46.695.017,02	52.000.000,00	5.397.521,51
1155	20/02/2010	28	58	41	40	51	20	61.880.258,00	0	 	 	0,00	76	47.668,53	6061	853,89	SIM	53.368.610,37	61.000.000,00	6.350.892,01
1156	24/02/2010	31	49	44	24	09	48	76.877.700,00	0	 	 	0,00	210	21.432,57	15420	416,97	SIM	61.659.631,20	70.000.000,00	7.535.323,58
1157	27/02/2010	46	09	43	41	49	29	102.544.866,00	4	BRASÍLIA	DF	18.179.694,01	248	24.207,80	19079	449,52	NÃO	0,00	2.500.000,00	9.115.201,42
CONSELHEIRO LAFAIETE	MG
JUNDIAÍ	SP
SÃO PAULO	SP
1158	03/03/2010	23	31	60	55	30	54	21.846.804,00	0	 	 	0,00	38	33.658,71	2442	748,23	SIM	2.356.109,85	5.000.000,00	9.451.788,55
1159	06/03/2010	53	46	05	06	34	55	29.453.948,00	0	 	 	0,00	72	23.949,93	7628	322,94	SIM	25.368.068,86	30.000.000,00	9.905.576,66
1160	10/03/2010	40	05	03	48	01	18	41.908.820,00	1	RECIFE	PE	29.887.804,73	118	20.792,97	10504	333,69	NÃO	0,00	2.000.000,00	10.551.253,23
1161	13/03/2010	48	47	07	04	42	51	22.587.152,00	0	 	 	0,00	43	30.752,91	4214	448,29	SIM	2.435.954,08	5.000.000,00	10.899.246,69
1162	17/03/2010	31	25	18	41	22	30	23.890.622,00	0	 	 	0,00	43	32.527,61	3308	604,02	SIM	5.012.483,34	8.000.000,00	11.267.322,32
1163	20/03/2010	05	51	31	53	47	17	28.875.932,00	0	 	 	0,00	72	23.479,92	6107	395,46	SIM	8.126.662,78	12.000.000,00	11.712.205,12
1164	24/03/2010	17	06	14	40	49	26	29.005.080,00	0	 	 	0,00	56	30.323,49	5145	471,50	SIM	21.170.174,38	25.000.000,00	12.159.077,66
1165	27/03/2010	20	52	60	42	54	40	38.087.576,00	0	 	 	0,00	70	31.855,07	3923	812,00	SIM	25.277.800,98	30.000.000,00	12.745.881,47
1166	31/03/2010	35	28	54	30	22	31	41.027.618,00	0	 	 	0,00	86	27.930,00	6211	552,47	SIM	29.702.501,97	35.000.000,00	13.377.981,62
1167	03/04/2010	43	28	56	20	52	51	39.708.236,00	0	 	 	0,00	44	52.834,93	4342	764,86	SIM	33.984.911,71	39.000.000,00	13.989.754,45
1168	07/04/2010	47	20	04	56	53	05	50.462.180,00	0	 	 	0,00	97	30.457,03	8380	503,63	SIM	39.427.100,86	47.000.000,00	14.767.210,06
1169	10/04/2010	14	01	11	23	42	48	62.859.000,00	1	TUPASSI	PR	46.206.248,49	179	20.559,27	12185	431,45	NÃO	0,00	19.000.000,00	15.735.659,74
1170	14/04/2010	46	11	27	34	49	13	31.138.258,00	1	RIO DE JANEIRO	RJ	19.095.125,12	228	7.995,63	10746	242,34	NÃO	0,00	2.000.000,00	16.215.397,51
1171	17/04/2010	41	03	10	30	57	13	22.664.280,00	0	 	 	0,00	79	16.796,08	5610	337,88	SIM	2.444.272,09	5.000.000,00	16.564.579,25
1172	20/04/2010	28	52	06	43	12	56	18.538.888,00	0	 	 	0,00	90	12.059,64	6438	240,83	SIM	4.443.633,49	7.000.000,00	16.850.202,32
1173	24/04/2010	07	25	24	36	05	47	28.108.632,00	0	 	 	0,00	140	11.754,52	9619	244,40	SIM	7.475.062,00	10.000.000,00	17.283.263,55
1174	28/04/2010	07	52	06	51	47	39	28.791.936,00	0	 	 	0,00	38	44.358,87	4174	576,91	SIM	19.341.429,43	22.000.000,00	17.726.852,25
1175	30/04/2010	02	03	12	37	47	16	30.584.616,00	0	 	 	0,00	77	23.254,42	6958	367,63	SIM	22.639.885,13	26.000.000,00	18.198.060,21
1176	05/05/2010	21	11	49	14	33	30	40.516.056,00	0	 	 	0,00	102	23.255,21	7379	459,22	SIM	27.009.415,74	33.000.000,00	18.822.278,89
1177	08/05/2010	33	52	55	47	38	50	46.418.328,00	1	SÃO PAULO	SP	32.015.488,03	78	34.840,80	6269	619,27	NÃO	0,00	2.000.000,00	19.537.432,09
1178	12/05/2010	01	53	22	50	45	30	19.655.986,00	0	 	 	0,00	27	42.621,06	2330	705,56	SIM	2.119.836,94	5.000.000,00	19.840.265,97
1179	15/05/2010	59	28	47	60	22	05	25.567.678,00	0	 	 	0,00	99	15.119,91	5765	370,92	SIM	15.909.470,94	20.000.000,00	20.234.179,49
1180	19/05/2010	60	12	34	30	44	57	33.176.212,00	0	 	 	0,00	70	27.747,38	5176	536,07	SIM	19.487.422,20	24.000.000,00	20.745.315,40
1181	22/05/2010	44	18	45	31	26	20	40.659.128,00	0	 	 	0,00	67	35.528,46	5964	570,18	SIM	23.872.382,69	29.000.000,00	21.371.738,34
1182	26/05/2010	52	29	56	60	02	04	40.959.376,00	0	 	 	0,00	82	29.243,72	7157	478,64	SIM	28.289.723,98	34.000.000,00	22.002.787,10
1183	29/05/2010	12	05	10	20	29	37	49.002.816,00	4	RIO DE JANEIRO	RJ	8.393.631,32	545	5.264,03	21948	186,73	NÃO	0,00	2.500.000,00	22.757.758,73
RIO DE JANEIRO	RJ
SÃO BERNARDO DO CAMPO	SP
SÃO PAULO	SP
1184	02/06/2010	04	23	27	28	09	30	20.256.366,00	0	 	 	0,00	134	8.850,14	7342	230,75	SIM	14.661.502,87	18.000.000,00	23.069.842,46
1185	05/06/2010	54	10	02	43	21	35	29.288.102,00	0	 	 	0,00	96	17.861,30	5571	439,69	SIM	17.820.133,57	22.000.000,00	23.521.075,43
1186	09/06/2010	41	12	15	07	13	08	36.225.720,00	1	SÃO PAULO	SP	21.726.964,78	196	10.820,67	12126	249,85	NÃO	0,00	1.500.000,00	24.079.194,19
1187	12/06/2010	08	49	43	17	40	19	20.990.400,00	0	 	 	0,00	42	29.259,35	4013	437,46	SIM	2.263.749,35	5.000.000,00	24.402.586,97
1188	16/06/2010	60	52	59	09	44	20	20.701.566,00	0	 	 	0,00	32	37.874,46	3164	547,21	SIM	4.496.348,84	7.000.000,00	24.721.529,75
1189	19/06/2010	50	21	14	35	31	27	25.805.114,00	0	 	 	0,00	44	34.335,73	4064	531,06	SIM	16.296.089,09	20.000.000,00	25.119.101,38
1190	23/06/2010	11	53	56	37	10	19	30.752.700,00	2	SÃO GONÇALO DO RIO ABAIXO	MG	9.806.336,06	146	12.331,72	7261	354,22	NÃO	0,00	2.000.000,00	25.592.898,97
CARLÓPOLIS	PR
1191	26/06/2010	25	22	11	16	33	03	18.169.908,00	0	 	 	0,00	138	7.708,45	6525	232,89	SIM	1.959.568,05	4.000.000,00	25.872.837,29
1192	30/06/2010	49	17	20	59	57	52	19.450.952,00	0	 	 	0,00	34	33.493,09	2691	604,53	SIM	4.057.292,71	6.500.000,00	26.172.512,25
1193	03/07/2010	12	54	02	32	14	09	22.466.636,00	0	 	 	0,00	72	18.268,32	5845	321,47	SIM	6.480.249,51	9.000.000,00	26.518.648,95
1194	07/07/2010	24	53	41	06	13	50	25.291.720,00	0	 	 	0,00	54	27.420,66	4511	468,92	SIM	17.080.404,23	21.000.000,00	26.908.310,87
1195	10/07/2010	27	17	57	26	55	20	33.032.140,00	1	MOMBAÇA	CE	20.642.817,77	63	30.696,54	4448	621,10	NÃO	0,00	2.000.000,00	27.417.227,11
1196	14/07/2010	60	03	20	19	58	06	17.725.202,00	0	 	 	0,00	85	12.208,59	5086	291,48	SIM	1.911.607,90	5.000.000,00	27.690.313,98
1197	17/07/2010	39	54	36	37	60	49	22.316.318,00	0	 	 	0,00	35	37.329,11	2662	701,14	SIM	4.318.353,37	7.000.000,00	28.034.134,77
1198	21/07/2010	29	22	36	58	41	48	23.482.624,00	0	 	 	0,00	52	26.438,48	3708	529,66	SIM	6.850.881,31	9.500.000,00	28.395.924,50
1199	24/07/2010	58	28	23	39	16	19	27.352.780,00	0	 	 	0,00	71	22.554,66	5692	401,91	SIM	18.200.523,70	22.000.000,00	28.817.340,54
1200	28/07/2010	10	03	39	54	56	11	33.518.376,00	1	SÃO PAULO	SP	21.815.376,29	91	21.564,27	6489	432,01	NÃO	0,00	2.000.000,00	29.333.748,06
1201	31/07/2010	36	32	55	49	60	28	19.058.168,00	0	 	 	0,00	67	16.653,27	3425	465,38	SIM	2.055.364,13	5.000.000,00	29.627.371,53
1202	04/08/2010	09	60	11	53	48	08	20.920.800,00	0	 	 	0,00	63	19.441,55	4195	417,10	SIM	4.311.607,33	7.000.000,00	29.949.692,00
1203	07/08/2010	55	30	33	09	07	38	25.095.694,00	0	 	 	0,00	99	14.840,80	6138	341,95	SIM	7.018.099,86	10.000.000,00	30.336.333,81
1204	11/08/2010	10	25	05	39	52	43	26.275.440,00	0	 	 	0,00	95	16.192,71	6613	332,31	SIM	18.316.592,66	22.000.000,00	30.741.151,60
1205	14/08/2010	14	04	26	35	29	13	36.208.214,00	0	 	 	0,00	141	15.034,23	9645	313,97	SIM	22.221.535,91	27.000.000,00	31.299.000,65
1206	18/08/2010	02	11	37	36	48	06	38.590.864,00	0	 	 	0,00	112	20.172,50	8526	378,55	SIM	26.383.440,55	31.000.000,00	31.893.558,47
1207	21/08/2010	32	35	22	09	56	11	46.011.358,00	0	 	 	0,00	108	24.942,19	8377	459,37	SIM	31.345.622,39	37.000.000,00	32.602.441,61
1208	25/08/2010	45	12	01	26	54	20	51.832.516,00	0	 	 	0,00	125	24.276,47	9464	458,06	SIM	36.935.598,02	43.000.000,00	33.401.009,57
1209	28/08/2010	30	17	38	14	05	35	64.118.190,00	0	 	 	0,00	251	14.955,49	16146	332,13	SIM	59.900.458,51	70.000.000,00	34.388.859,20
1210	01/09/2010	03	07	09	10	31	34	124.600.180,00	0	 	 	0,00	993	7.346,20	57447	181,40	SIM	73.338.200,39	85.000.000,00	36.308.536,62
1211	04/09/2010	36	54	03	31	15	48	177.888.800,00	7	RIO DE JANEIRO	RJ	13.217.564,89	981	10.616,29	44163	336,88	NÃO	0,00	2.000.000,00	39.049.215,76
BOTUCATU	SP
MANDURI	SP
OSASCO	SP
PRAIA GRANDE	SP
Ribeirão Preto	SP
SÃO PAULO	SP
1212	08/09/2010	35	50	02	23	33	40	18.443.790,00	0	 	 	0,00	28	38.564,29	2326	663,18	SIM	1.989.105,38	4.000.000,00	39.333.373,68
1213	11/09/2010	03	53	45	11	34	26	28.112.394,00	0	 	 	0,00	111	14.827,50	6156	381,93	SIM	5.020.939,63	8.000.000,00	39.766.492,87
1214	15/09/2010	05	41	29	36	30	48	29.803.386,00	0	 	 	0,00	87	20.055,78	6593	378,07	SIM	33.917.085,84	40.000.000,00	40.225.664,67
1215	18/09/2010	47	51	10	50	30	25	52.992.216,00	0	 	 	0,00	144	21.544,81	10052	440,91	SIM	39.632.131,51	46.000.000,00	41.042.099,78
1216	22/09/2010	07	25	04	58	13	27	57.159.394,00	0	 	 	0,00	555	6.029,59	26524	180,23	SIM	45.796.594,37	53.000.000,00	41.922.737,34
1217	25/09/2010	05	43	28	15	11	50	69.238.306,00	0	 	 	0,00	266	15.239,05	16184	357,81	SIM	53.263.730,31	61.000.000,00	42.989.471,06
1218	29/09/2010	33	23	29	46	10	31	86.469.726,00	0	 	 	0,00	211	23.992,46	17290	418,27	SIM	62.589.221,31	75.000.000,00	44.321.684,07
1219	02/10/2010	34	37	41	53	02	33	107.640.740,00	0	 	 	0,00	220	28.644,89	17919	502,40	SIM	99.517.334,59	115.000.000,00	45.980.072,51
1220	06/10/2010	48	55	52	43	05	15	181.969.176,00	1	FONTOURA XAVIER	RS	119.142.144,27	377	28.258,54	30478	499,35	NÃO	0,00	3.000.000,00	48.783.616,75
1221	09/10/2010	46	05	58	37	14	43	26.146.224,00	0	 	 	0,00	102	15.007,28	5864	372,91	SIM	2.819.788,93	6.000.000,00	49.186.443,74
1222	13/10/2010	26	19	48	57	05	08	24.254.156,00	0	 	 	0,00	121	11.735,29	7404	273,97	SIM	5.435.524,20	8.000.000,00	49.560.120,23
1223	16/10/2010	17	15	48	42	35	47	35.565.226,00	0	 	 	0,00	358	5.816,15	9411	316,07	SIM	9.271.123,19	13.000.000,00	50.108.062,95
1224	20/10/2010	41	19	57	53	21	27	37.770.716,00	1	CARAPICUIBA	SP	13.344.577,42	124	17.833,09	6867	460,02	NÃO	0,00	23.000.000,00	50.689.985,00
1225	23/10/2010	32	55	34	31	50	40	39.382.110,00	1	BELO HORIZONTE	MG	24.970.852,82	36	64.045,66	3825	861,11	NÃO	0,00	2.000.000,00	51.296.733,30
1226	27/10/2010	31	55	56	50	40	10	22.114.710,00	0	 	 	0,00	57	22.714,31	9917	186,50	SIM	2.385.002,68	5.000.000,00	51.637.447,99
1227	30/10/2010	35	31	04	30	54	28	28.377.038,00	1	FORTALEZA	CE	5.445.377,96	463	3.588,23	5301	447,71	NÃO	0,00	1.600.000,00	52.074.644,47
1228	03/11/2010	36	10	60	52	50	23	18.171.942,00	0	 	 	0,00	43	24.741,50	3050	498,30	SIM	1.959.787,41	5.000.000,00	52.354.614,11
1229	06/11/2010	12	49	60	32	30	40	27.891.626,00	0	 	 	0,00	42	38.879,24	2827	825,16	SIM	14.182.939,00	18.000.000,00	52.784.332,00
1230	10/11/2010	37	35	12	22	19	09	34.852.882,00	0	 	 	0,00	110	18.549,80	9272	314,38	SIM	17.941.713,91	22.000.000,00	53.321.299,85
1231	13/11/2010	20	27	49	05	23	39	41.183.828,00	1	SÃO PAULO	SP	22.383.261,66	161	14.975,94	9961	345,79	NÃO	0,00	2.000.000,00	53.955.806,69
1232	17/11/2010	12	18	15	08	11	22	18.310.616,00	0	 	 	0,00	161	6.658,40	7374	207,68	SIM	1.974.742,97	4.500.000,00	54.237.912,84
